municipality,year,slc_code,property_class,cva,total_tax_levied,lt_municipal_tax,ut_municipal_tax,education_tax
Mississauga,2023,0140,Managed Forest,576700.0,1272.0,473.0,578.0,221.0
Mississauga,2023,0210,Commercial,20187781571.0,399134022.0,100117441.0,122352470.0,176664111.0
Mississauga,2023,0510,Industrial,4673926802.0,95087942.0,24462448.0,29895302.0,40730192.0
Mississauga,2023,0610,Large Industrial,1098661145.0,22595139.0,5817463.0,7109458.0,9668218.0
Mississauga,2023,0710,Pipelines,163564000.0,3004114.0,704180.0,860571.0,1439363.0
Mississauga,2023,9170,Supplementary Taxes,,20986597.0,6009154.0,7403670.0,7573773.0
Mississauga,2023,9180,Total Levied by Rate,,1973233555.0,643735450.0,785115219.0,544382886.0
Brampton,2023,0010,Residential,89566111448.0,930842249.0,419321500.0,374488750.0,137031999.0
Brampton,2023,0050,Multi-residential,1782978140.0,29650745.0,14221664.0,12701125.0,2727956.0
Brampton,2023,0110,Farmland,107972000.0,280541.0,126377.0,112865.0,41299.0
Brampton,2023,0140,Managed Forest,969400.0,2519.0,1135.0,1013.0,371.0
Brampton,2023,0210,Commercial,10362005962.0,210262747.0,62910459.0,56184329.0,91167959.0
Brampton,2023,0510,Industrial,2149519272.0,46854225.0,14751129.0,13173992.0,18929104.0
Brampton,2023,0610,Large Industrial,1062538970.0,23193918.0,7312712.0,6530864.0,9350342.0
Brampton,2023,0710,Pipelines,218735200.0,3716012.0,946150.0,844992.0,1924870.0
Brampton,2023,9170,Supplementary Taxes,,13274678.0,5115671.0,4568814.0,3590193.0
Brampton,2023,9180,Total Levied by Rate,,1328460095.0,546372435.0,487414144.0,294673516.0
Kitchener,2023,0010,Residential,26781090771.0,324601283.0,99829998.0,183796216.0,40975069.0
Kitchener,2023,0050,Multi-residential,2404507735.0,46093173.0,14928862.0,27485414.0,3678897.0
Kitchener,2023,0110,Farmland,34312800.0,103973.0,31976.0,58872.0,13125.0
Kitchener,2023,0140,Managed Forest,2462746.0,7462.0,2295.0,4225.0,942.0
Kitchener,2023,0210,Commercial,2634125066.0,77478332.0,19117971.0,35197950.0,23162411.0
Kitchener,2023,0510,Industrial,437758503.0,12925567.0,3182015.0,5858382.0,3885170.0
Kitchener,2023,0610,Large Industrial,80659700.0,2375554.0,586306.0,1079443.0,709805.0
Kitchener,2023,0710,Pipelines,5857000.0,123576.0,25354.0,46680.0,51542.0
Kitchener,2023,9170,Supplementary Taxes,,10087538.0,2975133.0,5440807.0,1671598.0
Kitchener,2023,9180,Total Levied by Rate,,509461845.0,149701681.0,275174210.0,84585954.0
Windsor,2023,0010,Residential,13749989839.0,266695614.0,245658728.0,0.0,21036886.0
Windsor,2023,0050,Multi-residential,740629520.0,27397682.0,26264519.0,0.0,1133163.0
Windsor,2023,0110,Farmland,26740400.0,129668.0,119440.0,0.0,10228.0
Windsor,2023,0140,Managed Forest,0.0,0.0,0.0,0.0,0.0
Windsor,2023,0210,Commercial,2047304560.0,90136342.0,72454837.0,0.0,17681505.0
Windsor,2023,0510,Industrial,285324417.0,14360485.0,11805331.0,0.0,2555154.0
Windsor,2023,0610,Large Industrial,267289000.0,16357657.0,14005514.0,0.0,2352143.0
Windsor,2023,0710,Pipelines,66927400.0,2894695.0,2305734.0,0.0,588961.0
Windsor,2023,9170,Supplementary Taxes,,4404461.0,3822786.0,0.0,581675.0
Windsor,2023,9180,Total Levied by Rate,,452429810.0,400671998.0,0.0,51757812.0
London,2023,0010,Residential,39817553906.0,581777669.0,520859208.0,0.0,60918461.0
London,2023,0050,Multi-residential,2186144685.0,48243723.0,44900173.0,0.0,3343550.0
London,2023,0110,Farmland,464289027.0,802088.0,624497.0,0.0,177591.0
London,2023,0140,Managed Forest,1879700.0,6866.0,6147.0,0.0,719.0
London,2023,0210,Commercial,3992367786.0,134923763.0,99735079.0,0.0,35188684.0
London,2023,0510,Industrial,410830985.0,13878304.0,10248606.0,0.0,3629698.0
London,2023,0610,Large Industrial,208722032.0,7051876.0,5215122.0,0.0,1836754.0
London,2023,0710,Pipelines,112331000.0,3505725.0,2517212.0,0.0,988513.0
London,2023,9170,Supplementary Taxes,,13655039.0,11775794.0,0.0,1879245.0
London,2023,9180,Total Levied by Rate,,874634801.0,748531763.0,0.0,126103038.0
